보행자작동신호기관리번호,지주관리번호,방향,설치일,교체일,X좌표,Y좌표,제조업체,작업구분,표출구분,종류,신규정규화ID,상태,공사관리번호,보행자작동신호기관리번호,이력ID,위치정보,공사형태,MNG_AGEN,XGEO
29-0000000549,02-0000071437,90 ,-,-,203698.02885,553714.53074,-,001,002,000,-,001,2000-0000-000,29-000549,448,1,-,-,
29-0000000120,02-0000071533,270,-,-,204434.32715,554038.79556,대한신호,001,002,000,-,001,2011-0101-001,29-000120,449,1,-,-,
29-0000000119,02-0000071534,90 ,-,-,204432.45997,554062.41087,대한신호,001,002,000,-,001,2011-0101-001,29-000119,450,1,-,-,
29-0000000598,02-0000071969,90 ,-,-,203046.47534,554116.34534,-,001,002,000,4364771    ,001,2000-0000-000,29-000598,452,1,-,-,
29-0000000588,02-0000071976,90 ,-,-,203392.87261,553953.80706,-,001,002,000,4374441    ,001,2000-0000-000,29-000588,453,1,-,-,
29-0000000589,02-0000071977,90 ,-,-,203414.77447,553949.26659,-,001,002,000,4374431    ,001,2000-0000-000,29-000589,454,1,-,-,
29-0000000601,02-0000072065,90 ,-,-,203168.52996,554096.91806,-,001,002,000,4364961    ,001,2000-0000-000,29-000601,455,1,001,-,
29-0000000602,02-0000072107,90 ,-,-,203319.95891,554225.02039,-,001,002,000,4374292    ,001,2000-0000-000,29-000602,456,1,001,-,
29-0000000519,02-0000072219,90 ,-,-,202370.69455,553467.62824,-,001,001,000,-,001,2000-0000-000,29-000519,458,1,-,-,
29-0000000841,02-0000072456,90 ,-,-,202194.18435,553340.5447,0,002,001,000,-,001,2011-0101-055,29-000841,459,1,-,-,
29-0000000516,02-0000072456,90 ,-,-,202194.18435,553340.5447,-,002,001,000,-,001,2000-0000-000,29-000516,460,1,-,-,
29-0000000843,02-0000072456,0  ,-,-,202194.18435,553340.5447,.,002,001,000,-,001,2011-0101-055,29-000843,461,1,-,-,
29-0000000516,02-0000072456,90 ,-,-,202194.18435,553340.5447,-,001,001,000,-,001,2000-0000-000,29-000516,462,1,-,-,
29-0000000517,02-0000072457,90 ,-,-,202213.38435,553332.9447,-,002,001,000,-,001,2000-0000-000,29-000517,463,1,-,-,
29-0000000844,02-0000072457,0  ,-,-,202213.38435,553332.9447,.,002,001,000,-,001,2011-0101-055,29-000844,464,1,-,-,
29-0000000517,02-0000072457,90 ,-,-,202213.38435,553332.9447,-,002,001,000,-,001,2000-0000-000,29-000517,465,1,-,-,
29-0000000842,02-0000072457,90 ,-,-,202213.38435,553332.9447,.,002,001,000,-,001,2011-0101-055,29-000842,466,1,-,-,
29-0000000636,02-0000073577,90 ,-,-,202488.39196,553076.60812,-,002,001,000,-,001,2000-0000-000,29-000636,468,1,-,-,
29-0000000636,02-0000073577,90 ,-,-,202488.39196,553076.60812,-,001,001,000,-,001,2000-0000-000,29-000636,469,1,-,-,
29-0000000974,02-0000073577,90 ,-,-,202488.39196,553076.60812,대한신호,002,001,000,-,001,2011-1101-022,29-000974,470,1,-,-,
29-0000000400,02-0000073767,90 ,-,-,200212.67172,554749.54576,-,001,002,000,4315091    ,001,2000-0000-000,29-000400,471,1,-,-,
29-0000000384,02-0000073903,90 ,-,-,200334.2558,554564.82817,-,001,002,000,4315362    ,001,2000-0000-000,29-000384,473,1,-,-,
29-0000000399,02-0000074701,90 ,-,-,200085.99351,554855.27478,-,001,002,000,4306821    ,001,2000-0000-000,29-000399,475,1,-,-,
29-0000000398,02-0000074702,90 ,-,-,200084.59351,554883.30374,-,001,002,000,4306822    ,001,2000-0000-000,29-000398,476,1,001,-,
29-0000000923,02-0000074880,0  ,-,-,205210.92539,555021.2915,대한신호,001,002,000,5316052    ,001,2011-0101-084,29-000923,477,1,001,-,
29-0000000612,02-0000076020,90 ,-,-,205389.75785,555168.35945,-,001,001,000,-,001,2000-0000-000,29-000612,478,1,-,-,
29-0000000948,02-0000076020,90 ,-,-,205389.75785,555168.35945,0,003,001,000,-,001,2011-0101-084,29-000948,479,1,-,-,
29-0000000645,02-0000076037,90 ,-,-,204125.13143,554672.17275,-,002,001,000,-,001,2000-0000-000,29-000645,480,1,-,-,
29-0000000645,02-0000076037,90 ,-,-,204125.13143,554672.17275,-,001,001,000,-,001,2000-0000-000,29-000645,481,1,-,-,
29-0000000804,02-0000077101,90 ,-,-,201306.47594,551166.50697,대한신호,002,001,000,-,001,2011-1101-052,29-000804,483,1,-,-,
29-0000000303,02-0000077101,90 ,-,-,201306.47594,551166.50697,-,002,001,000,-,001,2000-0000-000,29-000303,484,1,-,-,
29-0000000890,02-0000078502,0  ,-,-,206566.44839,555786.34548,-,001,002,000,-,001,2011-0101-061,29-000890,486,1,-,-,
29-0000000891,02-0000078505,0  ,-,-,206551.80341,555793.55549,-,001,002,000,-,001,2011-0101-061,29-000891,487,1,-,-,
29-0000000442,02-0000078781,90 ,-,-,201945.01564,557377.19133,-,001,001,000,-,001,2000-0000-000,29-000442,488,1,-,-,
29-0000000445,02-0000078817,90 ,-,-,201919.96883,557560.25088,-,001,001,000,-,001,2000-0000-000,29-000445,489,1,-,-,
29-0000000443,02-0000078898,90 ,-,-,201962.53378,557381.55807,-,001,001,000,-,001,2000-0000-000,29-000443,490,1,-,-,
29-0000000554,02-0000079626,90 ,-,-,206687.09499,556909.48769,-,001,001,000,-,001,2000-0000-000,29-000554,491,1,-,-,
29-0000000889,02-0000079626,90 ,-,-,206686.79518,556913.50746,-,001,002,000,-,001,2011-0101-059,29-000889,492,1,-,-,
29-0000000951,02-0000079905,90 ,-,-,206504.53924,554272.52757,0,003,001,000,-,001,2011-0101-084,29-000951,493,1,-,-,
29-0000000640,02-0000079905,90 ,-,-,206504.53924,554272.52757,-,001,001,000,-,001,2000-0000-000,29-000640,494,1,-,-,
29-0000000641,02-0000079912,90 ,-,-,206518.94031,554281.28134,-,001,001,000,-,001,2000-0000-000,29-000641,495,1,-,-,
29-0000000946,02-0000080024,0  ,-,-,208558.8068,554419.72064,대한신호,001,002,000,5375731    ,001,2011-0101-084,29-000946,497,1,-,-,
29-0000000070,02-0000086546,90 ,-,-,202458.99268,561779.87013,-,001,001,000,-,001,2000-0000-000,29-000070,572,1,-,-,
29-0000000069,02-0000086569,90 ,-,-,202453.52943,561913.86107,-,001,002,000,4550533    ,001,2000-0000-000,29-000069,573,1,-,-,
29-0000000069,02-0000086569,0  ,-,-,202452.95884,561919.65978,-,004,001,000,-,001,2000-0000-000,29-000069,574,1,-,-,
29-0000000870,02-0000080246,90 ,-,-,207080.7794,552759.61536,대한신호,002,001,000,-,001,2012-0101-012,29-000870,499,1,-,-,
29-0000000042,02-0000086590,0  ,-,-,201657.4364,561978.86894,-,004,001,000,-,001,2000-0000-000,29-000042,576,1,-,-,
29-0000000561,02-0000080246,-45,-,-,207080.7794,552759.61536,-,002,001,000,-,001,2000-0000-000,29-000561,500,1,-,-,
29-0000001098,02-0000176311,180,20130403,20130403,199380.68614,550021.48372,-,001,001,000,3296452    ,001,-,29-001098,1291,-,-,-,
29-0000000867,02-0000080246,90 ,-,-,207080.7794,552759.61536,.,002,001,000,-,001,2012-0101-012,29-000867,501,1,-,-,
29-0000000868,02-0000080248,90 ,-,-,207085.85412,552747.7224,0,002,001,000,-,001,2012-0101-012,29-000868,502,1,-,-,
29-0000000562,02-0000080248,90 ,-,-,207085.85412,552747.7224,-,002,001,000,-,001,2000-0000-000,29-000562,503,1,-,-,
29-0000000878,02-0000080248,90 ,-,-,207085.85412,552747.7224,대한신호,002,001,000,-,001,2012-0101-012,29-000878,504,1,-,-,
29-0000000562,02-0000080248,90 ,-,-,207085.85412,552747.7224,-,001,001,000,-,001,2000-0000-000,29-000562,505,1,-,-,
29-0000000872,02-0000080249,90 ,-,-,207085.61014,552735.63637,0,002,001,000,-,001,2012-0101-012,29-000872,506,1,-,-,
29-0000000563,02-0000080249,90 ,-,-,207085.61014,552735.63637,-,001,001,000,-,001,2000-0000-000,29-000563,507,1,-,-,
29-0000000879,02-0000080249,90 ,-,-,207085.61014,552735.63637,대한신호,002,001,000,-,001,2012-0101-012,29-000879,508,1,-,-,
29-0000000563,02-0000080249,90 ,-,-,207085.61014,552735.63637,-,002,001,000,-,001,2000-0000-000,29-000563,509,1,-,-,
29-0000000866,02-0000080250,90 ,-,-,207057.53485,552756.64403,.,002,001,000,-,001,2012-0101-012,29-000866,511,1,-,-,
29-0000000560,02-0000080250,90 ,-,-,207057.53485,552756.64403,-,001,001,000,-,001,2000-0000-000,29-000560,512,1,-,-,
29-0000000869,02-0000080250,90 ,-,-,207057.53485,552756.64403,대한신호,002,001,000,-,001,2012-0101-012,29-000869,513,1,-,-,
29-0000000560,02-0000080250,90 ,-,-,207057.53485,552756.64403,-,002,001,000,-,001,2000-0000-000,29-000560,514,1,-,-,
29-0000000582,02-0000081207,90 ,-,-,208708.48148,556509.76003,-,001,001,000,-,001,2000-0000-000,29-000582,515,1,-,-,
29-0000000584,02-0000081242,90 ,-,-,208627.53247,556488.58557,-,001,002,000,5379942    ,001,2000-0000-000,29-000584,516,1,-,-,
29-0000000580,02-0000081325,90 ,-,-,207190.15356,553544.99241,-,001,001,000,5353054    ,001,2000-0000-000,29-000580,517,1,003,-,
29-0000000581,02-0000081334,90 ,-,-,207177.76194,553518.7488,-,001,001,000,5353055    ,001,2000-0000-000,29-000581,518,1,003,-,
29-0000000123,02-0000081426,90 ,-,-,207274.11661,553357.99521,대한신호,001,002,000,5353121    ,001,2010-0101-030,29-000123,519,1,-,-,
29-0000002089,02-0000215130,-,20211030,20211030,-,-,㈜대한신호,001,002,001,1114124    ,001,2021-0101-057,29-002089,2282,-,001,-,
29-0000000924,02-0000082025,0  ,-,-,208734.41533,554889.6554,대한신호,001,002,000,5386123    ,001,2011-0101-084,29-000924,522,1,-,-,
29-0000000587,02-0000082179,90 ,-,-,208562.03195,556448.36497,-,001,001,000,-,001,2000-0000-000,29-000587,523,1,-,-,
29-0000000394,02-0000082230,90 ,-,-,205545.30598,557883.07468,-,001,002,000,5412721    ,001,2000-0000-000,29-000394,524,1,-,-,
29-0000000395,02-0000082269,90 ,-,-,205561.11888,557900.20454,-,001,002,000,5412731    ,001,2000-0000-000,29-000395,525,1,-,-,
29-0000000894,02-0000082269,90 ,-,-,205559.07974,557903.92344,대한신호,003,001,000,-,001,2012-0101-004,29-000894,526,1,-,-,
29-0000000485,02-0000082505,90 ,-,-,201373.19265,557440.11184,-,001,002,000,4431332    ,001,2000-0000-000,29-000485,527,1,-,-,
29-0000000486,02-0000082506,90 ,-,-,201381.05692,557438.23435,-,001,002,000,4431432    ,001,2000-0000-000,29-000486,528,1,-,-,
29-0000000799,02-0000118505,90 ,-,-,198273.26414,550569.52746,ㅎ,001,001,000,-,001,2011-0101-027,29-000799,820,1,-,-,
29-0000000334,02-0000118684,90 ,-,-,191894.92301,544045.4808,-,001,002,001,2144455    ,001,2000-0000-000,29-000334,821,1,001,-,
29-0000000335,02-0000118685,90 ,-,-,191914.70648,544041.42025,-,001,002,001,2144453    ,001,2000-0000-000,29-000335,822,1,-,-,
29-0000000370,02-0000119399,90 ,-,-,199026.26948,539774.54976,-,001,001,000,-,001,2000-0000-000,29-000370,823,1,-,-,
29-0000000371,02-0000119401,90 ,-,-,199052.3346,539795.57057,-,001,001,000,-,001,2000-0000-000,29-000371,824,1,-,-,
29-0000000148,02-0000119473,270,20100601,-,212448.63697,545553.14138,-,001,001,000,-,001,2000-0000-000,29-000148,825,1,-,-,
29-0000000147,02-0000119474,90 ,20100601,-,212430.1432,545570.59651,-,001,001,000,-,001,2000-0000-000,29-000147,826,1,-,-,
29-0000000273,02-0000119502,90 ,-,-,193967.66197,555752.5891,-,001,001,000,2388501    ,001,2000-0000-000,29-000273,827,1,003,-,
29-0000000100,02-0000119855,0  ,-,-,196337.41274,543968.84179,-,004,001,000,-,001,2000-0000-000,29-000100,828,1,-,-,
29-0000000100,02-0000119855,90 ,-,-,196339.33323,543964.8828,-,001,001,000,-,001,2000-0000-000,29-000100,829,1,-,-,
29-0000000102,02-0000119857,0  ,-,-,196392.1247,543958.28584,-,004,001,000,-,001,2000-0000-000,29-000102,830,1,-,-,
29-0000000102,02-0000119857,90 ,-,-,196394.04382,543954.20651,-,001,001,000,-,001,2000-0000-000,29-000102,831,1,-,-,
29-0000000103,02-0000119858,0  ,-,-,196396.58998,543940.61601,-,004,001,000,-,001,2000-0000-000,29-000103,832,1,-,-,
29-0000000103,02-0000119858,90 ,-,-,196395.56981,543937.01572,-,001,001,000,-,001,2000-0000-000,29-000103,833,1,-,-,
29-0000000606,02-0000120394,90 ,-,-,206861.93441,550509.99666,-,001,001,000,-,001,2000-0000-000,29-000606,834,1,-,-,
29-0000000606,02-0000120394,90 ,-,-,206861.93441,550509.99666,-,002,001,000,-,001,2000-0000-000,29-000606,835,1,-,-,
29-0000000741,02-0000120440,90 ,-,-,187949.95216,546226.97167,-,001,001,000,-,001,2000-0000-000,29-000741,837,1,-,-,
29-0000000740,02-0000120444,90 ,-,-,187944.85866,546243.80627,-,001,001,000,-,001,2000-0000-000,29-000740,838,1,-,-,
29-0000000153,02-0000120662,90 ,-,-,212861.27294,546905.99506,-,001,001,000,-,001,2000-0000-000,29-000153,839,1,-,-,
29-0000000154,02-0000120663,270,-,-,212883.87294,546906.46453,-,001,001,000,-,001,2000-0000-000,29-000154,840,1,-,-,
29-0000000451,02-0000124096,90 ,-,-,201593.2794,557474.66603,-,001,001,000,-,001,2000-0000-000,29-000451,841,1,-,-,
29-0000000456,02-0000124107,90 ,-,-,201494.76173,557396.04286,-,001,002,001,4431622    ,001,2000-0000-000,29-000456,843,1,-,-,
29-0000000458,02-0000124108,90 ,-,-,201520.47106,557397.69445,-,001,002,000,-,001,2000-0000-000,29-000458,844,1,-,-,
29-0000000455,02-0000124109,90 ,-,-,201503.37587,557411.66267,-,001,002,001,4431631    ,001,2000-0000-000,29-000455,845,1,-,-,
29-0000000457,02-0000124110,90 ,-,-,201513.42039,557412.9965,-,001,002,000,4431632    ,001,2000-0000-000,29-000457,846,1,001,-,
29-0000000958,02-0000124129,90 ,-,-,204647.04608,553956.33606,.,003,001,000,-,001,2011-0101-084,29-000958,848,1,-,-,
29-0000000648,02-0000124129,90 ,-,-,204647.04608,553956.33606,-,001,001,000,-,001,2000-0000-000,29-000648,849,1,-,-,
29-0000000649,02-0000124130,90 ,-,-,204626.40596,553939.92995,-,001,001,000,-,001,2000-0000-000,29-000649,850,1,-,-,
29-0000000959,02-0000124130,90 ,-,-,204626.40596,553939.92995,.,001,001,000,-,001,2011-0101-084,29-000959,851,1,-,-,
29-0000000101,02-0000126595,90 ,-,-,196337.76038,543948.3294,-,001,001,000,-,001,2000-0000-000,29-000101,854,1,-,-,
29-0000000101,02-0000126595,0  ,-,-,196341.60026,543952.16885,-,004,001,000,-,001,2000-0000-000,29-000101,855,1,-,-,
29-0000000502,02-0000127462,90 ,-,-,197462.13003,552268.84326,-,001,001,000,-,001,2000-0000-000,29-000502,856,1,-,-,
29-0000000755,02-0000127571,90 ,-,-,184938.60628,544146.44531,-,001,002,000,1104572    ,001,2000-0000-000,29-000755,858,1,001,-,
